#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-08-06T15:17:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ598732b534e4	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/525/A71&tab:{J/A+A/525/A71/table2}&key:source=J/A+A/525/A71/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/525/A71/table2
#-order=I
#-out=Name
#-out=SpType
#-out=Teff
#-out=e_Teff
#-out=log(g)
#-out=e_log(g)
#-out=[Fe/H]
#-out=e_[Fe/H]
#
#RESOURCE=yCat_35250071
#Name: J/A+A/525/A71
#Title: Atmospheric parameters for 1273 stars (Wu+, 2011)
#Table	J_A_A_525_A71_table2:
#Name: J/A+A/525/A71/table2
#Title: Physical parameters adopted by this work
#Column	Name	(a10)	Stellar identification	[ucd=meta.id;meta.main]
#Column	SpType	(a12)	MK Spectral type	[ucd=src.spType]
#Column	Teff	(I5)	? Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Error of effective temperature (1) [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	log(g)	(F5.2)	? Log of the surface gravity	[ucd=phys.gravity]
#Column	e_log(g)	(F5.2)	? Error of the log of the surface gravity (1)	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Error of metallicity (1)	[ucd=stat.error;phys.abund.Fe]
#| |K|K|[cm/s2]|[cm/s2]|[Sun]|[Sun]
#---------|------------|-----|----|-----|-----|-----|-----
Name|SpType|Teff|e_Teff|log(g)|e_log(g)|[Fe/H]|e_[Fe/H]
HD129312  |G7III       | 5002|  28| 2.37| 0.07| 0.02| 0.06
HD129336  |G8III       | 4942|  32| 2.64| 0.09|-0.28| 0.07
HD129956  |B9.5V       |10252| 160| 3.86| 0.09|-0.37| 0.10
HD129972  |G8.5III     | 4987|  28| 2.64| 0.07|-0.02| 0.06
HD129978  |K2III       | 4500|  20| 2.25| 0.08|-0.20| 0.05
HD130025  |K0          | 5226|  32| 2.82| 0.08|-0.13| 0.07
HD130087  |G2IV        | 5950|  33| 4.10| 0.06| 0.23| 0.05
HD130109  |A0V         | 9772| 205| 3.83| 0.12|-0.41| 0.14
HD130325  |K0III       | 4706|  26| 2.53| 0.08|-0.16| 0.06
HD130705  |K4II-III    | 4425|  22| 2.57| 0.09| 0.38| 0.05
HD130948  |G1V         | 5993|  31| 4.41| 0.05|-0.01| 0.05
HD130952  |G8III       | 4789|  27| 2.50| 0.09|-0.40| 0.06
HD131111  |K0III       | 4724|  26| 2.82| 0.08|-0.27| 0.06
HD131156  |G8V         | 5530|  29| 4.60| 0.06|-0.08| 0.05
HD131507  |K4III       | 4162|  16| 2.10| 0.11|-0.11| 0.05
HD131873  |K4III       | 4067|  13| 1.70| 0.11|-0.13| 0.05
HD131918  |K4III       | 4148|  17| 1.67| 0.11|-0.03| 0.05
HD132132  |K1III       | 4681|  26| 2.55| 0.08| 0.08| 0.06
HD132254  |F7V         | 6195|  30| 4.15| 0.05| 0.05| 0.04
HD132345  |K3IIICN...  | 4450|  24| 2.53| 0.10| 0.36| 0.05
HD132883  |K1:IV-V:    | 4534|  20| 2.82| 0.07| 0.05| 0.04
HD133165  |K0.5IIIb    | 4725|  24| 2.50| 0.08|-0.24| 0.06
HD133208  |G8IIIa      | 5049|  45| 2.35| 0.11|-0.05| 0.10
HD134063  |G5III       | 4901|  28| 2.40| 0.09|-0.68| 0.07
HD134083  |F5V         | 6517|  30| 4.18| 0.04|-0.03| 0.04
HD134169  |G1Vw        | 5878|  33| 4.07| 0.06|-0.77| 0.06
HD134190  |G7.5III     | 4937|  30| 2.54| 0.09|-0.38| 0.07
HD134474  |G5          | 5341|  26| 4.59| 0.05| 0.22| 0.05
HD135148  |K0          | 4361|  30| 0.72| 0.10|-1.85| 0.07
HD135722  |G8III       | 4915|  30| 2.61| 0.09|-0.42| 0.07
HD135742  |B8V         |12946| 449| 4.12| 0.16| 0.33| 0.17
HD136064  |F9IV        | 6124|  34| 4.02| 0.06| 0.02| 0.05
HD136202  |F8III-IV    | 6132|  33| 3.99| 0.06| 0.02| 0.05
HD136479  |K1III       | 4957|  34| 2.93| 0.09| 0.25| 0.07
HD136512  |K0III       | 4821|  25| 2.54| 0.08|-0.27| 0.06
HD136726  |K4III       | 4204|  20| 1.99| 0.13|-0.01| 0.06
HD136729  |A4V         | 8247|  63| 3.93| 0.07|-0.30| 0.08
HD137052  |F5IV        | 6477|  31| 4.02| 0.04|-0.04| 0.04
HD137510  |G0IV-V      | 5886|  30| 3.89| 0.06| 0.29| 0.04
HD137759  |K2III       | 4525|  22| 2.63| 0.08| 0.11| 0.05
HD138279  |F5          | 6172|  64| 4.06| 0.09|-1.35| 0.15
HD138481  |K5III       | 3905|  12| 1.22| 0.12|-0.01| 0.04
HD138716  |K1IV        | 4779|  47| 3.14| 0.14|-0.09| 0.10
HD138776  |K0          | 5584|  38| 4.06| 0.08| 0.36| 0.06
HD138905  |K0III       | 4783|  45| 2.42| 0.14|-0.40| 0.11
HD139195  |K0III:CNs...| 4985|  27| 2.71| 0.07|-0.11| 0.06
HD139446  |G8III/IV    | 5108|  31| 2.75| 0.08|-0.28| 0.07
HD139457  |F8V         | 6077|  51| 4.12| 0.09|-0.45| 0.08
HD139641  |G7.5IIIb    | 5000|  50| 2.94| 0.14|-0.52| 0.11
HD139669  |K5III       | 3949|  13| 1.50| 0.12| 0.16| 0.04
HD140027  |G8III       | 5136|  34| 2.70| 0.09|-0.11| 0.08
HD140283  |sdF3        | 5798|  52| 3.59| 0.10|-2.18| 0.11
HD140573  |K2IIIb      | 4592|  24| 2.69| 0.08| 0.25| 0.05
HD141003  |A2IV        | 8538|  78| 3.75| 0.10|-0.20| 0.10
HD141004  |G0V         | 5892|  30| 4.19| 0.06|-0.01| 0.05
HD141680  |G8III       | 4848|  41| 2.59| 0.12|-0.20| 0.10
HD141714  |G3.5III     | 5317|  31| 3.24| 0.08|-0.23| 0.06
HD142091  |K1IVa       | 4844|  25| 3.27| 0.07| 0.07| 0.05
HD142198  |K0III       | 4804|  28| 2.49| 0.09|-0.27| 0.06
HD142373  |F8Ve...     | 5837|  38| 3.98| 0.08|-0.51| 0.07
HD142860  |F6IV        | 6274|  30| 4.15| 0.05|-0.19| 0.04
HD142980  |K1IV        | 4493|  22| 2.65| 0.09| 0.01| 0.05
HD143107  |K2III       | 4397|  20| 2.09| 0.09|-0.18| 0.05
HD143393  |K2III       | 4599|  24| 2.68| 0.09|-0.07| 0.05
HD143666  |G8IIIb      | 4897|  29| 2.61| 0.08|-0.19| 0.07
HD143761  |G0Va        | 5799|  29| 4.19| 0.06|-0.26| 0.05
HD144172  |F8          | 6346|  28| 4.13| 0.04|-0.45| 0.04
HD144585  |G5V         | 5765|  30| 4.10| 0.06| 0.28| 0.04
HD145328  |K1III-IV    | 4808|  23| 3.08| 0.07|-0.07| 0.05
HD145502  |B2IV        |19251| 350| 3.80| 0.08|-0.02| 0.05
HD146051  |M0.5III     | 3770|   7| 1.46| 0.11|-0.04| 0.04
HD146791  |G9.5IIIb    | 4918|  28| 2.59| 0.08|-0.13| 0.06
HD147394  |B5IV        |15868| 270| 3.73| 0.05| 0.03| 0.05
HD147677  |K0III       | 4982|  26| 2.93| 0.07| 0.11| 0.05
HD147700  |K0III       | 4838|  34| 2.53| 0.12|-0.18| 0.08
HD148293  |K2III       | 4693|  24| 2.59| 0.07| 0.16| 0.05
HD148387  |G8IIIb      | 5066|  37| 2.78| 0.10|-0.07| 0.08
HD148513  |K4III       | 4127|  15| 2.15| 0.11| 0.19| 0.05
HD148783  |M6III       | 3146|  10| 0.45| 0.18|-1.00| 0.00
HD148786  |G8/K0III    | 5180|  30| 2.82| 0.07| 0.20| 0.06
HD149161  |K4III       | 3924|  10| 1.86| 0.11|-0.22| 0.05
HD149630  |B9V         |10294| 189| 3.99| 0.09| 0.03| 0.12
HD149661  |K2V         | 5301|  29| 4.64| 0.06| 0.12| 0.05
HD149750  |G5          | 5783|  37| 4.06| 0.07| 0.16| 0.06
HD149757  |O9V         |33262| 836| 4.09| 0.08|-0.09| 0.08
HD150012  |F5IV        | 6628|  33| 3.98| 0.05| 0.13| 0.04
HD150100  |B9.5Vn      |10271| 127| 3.99| 0.04|-0.33| 0.07
HD150117  |B9V         |10727| 157| 3.91| 0.08|-0.22| 0.09
HD150177  |F3V         | 6141|  30| 4.04| 0.05|-0.60| 0.05
HD150449  |K1III       | 4773|  28| 2.67| 0.09|-0.03| 0.06
HD150453  |F3V         | 6506|  35| 4.06| 0.05|-0.28| 0.05
HD150680  |G0IV        | 5780|  35| 3.89| 0.07| 0.09| 0.06
HD150997  |G7.5IIIb    | 5042|  37| 2.79| 0.10|-0.21| 0.08
HD151431  |A3V         | 8346|  55| 3.78| 0.07|-0.15| 0.07
HD151613  |F2V         | 6760|  33| 4.11| 0.04|-0.21| 0.04
HD151769  |F7IV        | 6417|  37| 3.89| 0.06| 0.13| 0.04
HD151862  |A1V         | 9272| 126| 3.93| 0.06|-0.14| 0.07
HD152569  |F0V         | 7303|  34| 3.87| 0.05| 0.22| 0.04
HD152601  |K2III       | 4719|  25| 2.74| 0.08| 0.11| 0.05
HD152614  |B8V         |11651| 164| 4.03| 0.07| 0.09| 0.08
HD152792  |G0V         | 5662|  28| 3.87| 0.06|-0.39| 0.05
HD152815  |G8III       | 4941|  32| 2.62| 0.09|-0.18| 0.07
HD153597  |F6Vvar      | 6304|  35| 4.29| 0.05|-0.14| 0.05
HD153653  |A7V         | 7561|  35| 4.12| 0.04|-0.11| 0.05
HD153808  |A0V         | 9609| 205| 3.82| 0.12|-0.25| 0.14
HD154278  |K1III       | 4718|  31| 2.61| 0.10|-0.28| 0.07
HD154431  |A5V         | 7821|  49| 4.03| 0.05|-0.11| 0.06
HD154445  |B1V         |22604| 728| 3.78| 0.09|-0.02| 0.05
HD154543  |K2          | 3576|   7| 1.27| 0.14|-0.03| 0.05
HD154660  |A9V         | 7663|  33| 3.97| 0.05|-0.18| 0.06
HD155358  |G0          | 5903|  25| 4.12| 0.05|-0.66| 0.04
HD155514  |A8V         | 7591|  43| 3.87| 0.05|-0.09| 0.06
HD155763  |B6III       |14064| 207| 3.79| 0.07| 0.13| 0.07
HD156164  |A3IV        |     |    |     |     |     |
HD157089  |F9V         | 5790|  29| 4.05| 0.06|-0.57| 0.05
HD157198  |A2V         | 9547| 141| 3.89| 0.07|-0.28| 0.08
HD157214  |G0V         | 5666|  33| 4.21| 0.07|-0.40| 0.06
HD157373  |F4V         | 6492|  33| 4.19| 0.04|-0.46| 0.05
HD157466  |F8V         | 6059|  26| 4.30| 0.04|-0.42| 0.04
HD157740  |A3V         | 8573|  69| 3.42| 0.09|-0.05| 0.06
HD157741  |B9V         |10999| 174| 3.88| 0.11|-0.19| 0.11
HD157910  |G5III+...   | 5232|  32| 2.65| 0.08|-0.09| 0.07
HD158148  |B5V         |15545| 238| 3.81| 0.10|-0.03| 0.09
HD158261  |A0V         | 9517| 161| 3.64| 0.11|-0.10| 0.10
HD158352  |A8V         | 7494|  40| 3.85| 0.05|-0.06| 0.05
HD158414  |A4V         | 8276|  61| 3.81| 0.08|-0.19| 0.08
HD158485  |A4V         | 8371|  73| 3.96| 0.08|-0.23| 0.09
HD158614  |G9IV-V...   | 5602|  30| 4.40| 0.06| 0.06| 0.05
HD158716  |A1V         | 8629|  78| 3.66| 0.08|-0.04| 0.06
HD158899  |K4III       | 4155|  14| 1.76| 0.09|-0.03| 0.04
HD159139  |A1V         | 9405| 188| 3.81| 0.10|-0.55| 0.14
HD159307  |F8          | 6333|  30| 4.13| 0.04|-0.57| 0.05
HD159332  |F6V         | 6264|  37| 4.00| 0.06|-0.13| 0.05
HD160054  |A5V         | 7890|  53| 3.92| 0.05|-0.05| 0.06
HD160315  |K0III+...   | 4980|  29| 2.88| 0.08| 0.10| 0.06
HD160762  |B3IV        |19109| 383| 3.80| 0.05|-0.04| 0.04
HD160765  |A1V         | 9235| 162| 3.91| 0.08|-0.40| 0.10
HD160933  |F9V         | 5869|  36| 3.92| 0.07|-0.28| 0.06
HD161056  |B1.5V       |21672|1001| 3.62| 0.14| 0.00| 0.09
HD161096  |K2III       | 4593|  24| 2.69| 0.08| 0.25| 0.05
HD161693  |A2V         | 9391| 163| 3.80| 0.10|-0.40| 0.11
HD161797  |G5IV        | 5566|  32| 3.93| 0.07| 0.28| 0.05
HD161817  |sdA2        | 7631|    | 3.11|     |-1.54|
HD161868  |A0V         | 9608| 212| 3.93| 0.09|-0.60| 0.15
HD162555  |K1III       | 4702|  25| 2.70| 0.08|-0.10| 0.05
HD162570  |A9V         | 7511|  38| 3.87| 0.05| 0.02| 0.05
HD163506  |F2Ibe       | 7826|  98| 1.48| 0.08| 0.01| 0.11
HD163588  |K2III       | 4483|  25| 2.65| 0.10| 0.04| 0.06
HD163624  |A3V         | 8422|  63| 3.77| 0.07|-0.09| 0.06
HD163917  |G9III       | 4965|  40| 2.78| 0.10| 0.16| 0.08
HD163989  |F6IV-Vs     | 6216|  36| 3.94| 0.06|-0.04| 0.05
HD163993  |G8III       | 5087|  28| 2.91| 0.07| 0.07| 0.06
HD164136  |F2II        | 6979|  45| 3.80| 0.05|-0.07| 0.05
HD164259  |F2IV        | 6764|  28| 4.09| 0.03| 0.01| 0.03
HD164284  |B2Ve        |19706| 635| 3.69| 0.14| 0.00| 0.08
HD164353  |B5Ib        |18738| 590| 3.03| 0.08|-0.01| 0.06
HD164577  |A2Vn        | 9479| 169| 4.02| 0.07|-0.14| 0.13
HD165029  |A0V         | 9581| 178| 3.82| 0.10|-0.51| 0.13
HD165195  |K3p         | 4398|  30| 0.78| 0.10|-2.21| 0.06
HD165341  |K0V         | 5232|  24| 4.57| 0.05| 0.07| 0.05
HD165358  |A2V         | 8948| 114| 3.94| 0.07|-0.25| 0.07
HD165401  |G0V         | 5766|  28| 4.43| 0.05|-0.44| 0.05
HD165645  |F0V         | 7294|  38| 3.99| 0.05| 0.02| 0.05
HD165687  |K0III       | 4667|  23| 2.56| 0.08|-0.02| 0.05
HD165760  |G8III       | 5029|  26| 2.69| 0.07| 0.03| 0.06
HD165908  |F7V         | 6013|  31| 4.19| 0.05|-0.56| 0.05
HD166014  |B9.5V       |10590| 250| 4.17| 0.08|-0.06| 0.15
HD166046  |A3V         | 8326| 102| 3.99| 0.10|-0.18| 0.12
HD166161  |G5          | 5064|  56| 2.05| 0.16|-1.44| 0.15
HD166207  |K0III       | 4806|  30| 2.67| 0.09| 0.02| 0.06
HD166208  |G8IIICN...  | 5084|  29| 2.71| 0.07| 0.10| 0.06
HD166229  |K2.5III     | 4572|  20| 2.87| 0.07| 0.16| 0.04
HD167006  |M3III       | 3518|   5| 1.16| 0.11|-0.14| 0.04
HD167042  |K1III       | 4959|  23| 3.34| 0.06|-0.01| 0.05
HD167588  |F8V         | 5945|  32| 4.02| 0.06|-0.32| 0.05
HD167768  |G3III       | 4945|  28| 2.32| 0.08|-0.72| 0.07
HD167771  |O8/O9       |37002| 884| 3.59| 0.05| 0.12| 0.05
HD168009  |G2V         | 5797|  30| 4.26| 0.06| 0.00| 0.05
HD168092  |F1V         | 7014|  49| 4.07| 0.05|-0.12| 0.06
HD168151  |F5V         | 6450|  37| 4.18| 0.05|-0.34| 0.05
HD168199  |B5V         |16479| 318| 3.80| 0.10|-0.04| 0.09
HD168270  |B9V         |10699| 151| 3.97| 0.06|-0.07| 0.08
HD168322  |G8.5IIIb    | 4802|  29| 2.49| 0.09|-0.45| 0.07
HD168656  |G8III       | 5062|  48| 2.71| 0.12|-0.11| 0.11
HD168720  |M0III       | 3789|   6| 1.56| 0.09| 0.00| 0.03
HD168723  |K0III-IV    | 4927|  24| 3.01| 0.07|-0.26| 0.05
HD168775  |K2III       | 4611|  21| 2.43| 0.07| 0.12| 0.05
HD169191  |K3III       | 4377|  22| 2.15| 0.10|-0.18| 0.06
HD169305  |M2III       | 3641|   6| 1.12| 0.10|-0.08| 0.04
HD169414  |K2III       | 4475|  19| 2.62| 0.08|-0.11| 0.04
HD169578  |B9V         |11551| 199| 4.07| 0.08| 0.07| 0.10
HD170693  |K1.5III     | 4446|  25| 2.22| 0.10|-0.42| 0.06
HD171301  |B8IV        |11752| 142| 4.08| 0.04| 0.05| 0.07
HD171391  |G8III       | 5096|  29| 2.85| 0.07|-0.03| 0.06
HD171406  |B4Ve        |15278| 270| 3.77| 0.13|-0.05| 0.11
HD172365  |F8Ib-II     | 5992|  35| 1.37| 0.06| 0.12| 0.06
HD172569  |F0V         | 7317|  55| 4.02| 0.06| 0.10| 0.06
HD172816  |M4III       | 3155|  12| 0.14| 0.24|-0.44| 1.35
HD172958  |B8V         |11251| 199| 3.96| 0.10|-0.05| 0.11
HD173087  |B5V         |16182| 330| 3.76| 0.08|-0.07| 0.07
HD173399  |G5IV        | 5082|  27| 3.15| 0.07|-0.26| 0.06
HD173495  |A1V+...     | 9218| 185| 3.84| 0.10|-0.37| 0.12
HD173667  |F6V         | 6403|  29| 4.05| 0.04|-0.03| 0.04
HD173780  |K3III       | 4468|  19| 2.42| 0.08|-0.04| 0.05
HD173936  |B6V         |14524| 250| 3.81| 0.08|-0.04| 0.08
HD174959  |B6IV        |14832| 231| 3.75| 0.06| 0.04| 0.06
HD175156  |B3II        |17271| 454| 3.09| 0.09| 0.07| 0.06
HD175306  |G9IIIb      | 4470|  26| 1.92| 0.10|-0.48| 0.07
HD175317  |F5/F6IV/V   | 6479|  48| 4.09| 0.07| 0.01| 0.06
HD175426  |B2.5V       |17997| 337| 3.81| 0.07|-0.05| 0.06
HD175535  |G7IIIa      | 5143|  43| 2.74| 0.11|-0.03| 0.10
HD175545  |K2III       | 4511|  20| 2.92| 0.07| 0.11| 0.04
HD175588  |M4II        | 3333|   7| 0.48| 0.11|-0.04| 0.05
HD175640  |B9III       |11515| 179| 4.02| 0.06| 0.18| 0.08
HD175743  |K1III       | 4708|  28| 2.64| 0.09| 0.03| 0.06
HD175751  |K2III       | 4749|  26| 2.66| 0.08| 0.02| 0.06
HD176301  |B7III-IV    |14428| 265| 3.75| 0.10| 0.14| 0.09
HD176318  |B7IV        |13657| 273| 3.70| 0.16| 0.12| 0.14
HD176411  |K1III       | 4741|  30| 2.69| 0.09| 0.13| 0.06
HD176437  |B9III       |11163| 170| 4.06| 0.06| 0.15| 0.09
HD176582  |B5IV        |16308| 303| 3.61| 0.09| 0.10| 0.08
HD176819  |B2IV-V      |20461| 632| 3.80| 0.09|-0.05| 0.07
HD177178  |A4V         | 7854|  55| 3.99| 0.06|-0.15| 0.07
HD177196  |A7V         | 7801|  49| 3.97| 0.05|-0.11| 0.06
HD177249  |G5.5IIb     | 5238|  30| 2.48| 0.07|-0.03| 0.07
HD177724  |A0Vn        | 9975| 242| 3.85| 0.13|-0.52| 0.16
HD177756  |B9Vn        |11239| 182| 3.89| 0.10|-0.08| 0.11
HD177817  |B7V         |12786| 201| 4.14| 0.07| 0.16| 0.08
HD177940  |M7IIIevar   | 3092|  23| 0.59| 0.54|-1.00| 0.00
HD178125  |B8III       |12287| 163| 4.18| 0.05| 0.13| 0.08
HD178187  |A4III       | 8176|  63| 3.77| 0.07|-0.03| 0.06
HD178266  |K5          | 4381|  34| 2.68| 0.15| 0.10| 0.08
HD178329  |B3V         |17571| 399| 3.78| 0.07|-0.05| 0.05
HD178717  |K3.5III:    | 4071|  37| 1.13| 0.25|-0.13| 0.12
HD179588  |B9IV        |11165| 225| 4.05| 0.06| 0.00| 0.10
HD179761  |B8II-III    |14325| 254| 3.66| 0.07| 0.14| 0.07
HD180006  |G8III       | 4996|  27| 2.73| 0.07| 0.17| 0.06
HD180028  |F6Ib        | 6287|  38| 1.65| 0.07| 0.14| 0.07
HD180163  |B2.5IV      |18946| 401| 3.69| 0.06| 0.02| 0.04
HD180554  |B4IV        |16787| 287| 3.74| 0.07| 0.00| 0.06
HD180610  |K2III       | 4539|  20| 2.79| 0.07| 0.06| 0.04
HD180711  |G9III       | 4872|  25| 2.61| 0.07|-0.17| 0.06
HD180890  |G5          | 5580|  28| 4.40| 0.06| 0.20| 0.05
HD180928  |K4III       | 4074|  16| 2.04| 0.12|-0.57| 0.07
HD180968  |B0.5IV      |24093|1595| 3.44| 0.11|-0.08| 0.10
HD181096  |F6IV:       | 6318|  34| 4.03| 0.05|-0.20| 0.05
HD181276  |G9III       | 5012|  25| 2.87| 0.06| 0.04| 0.05
HD182293  |K3IVp       | 4445|  20| 2.89| 0.08| 0.01| 0.05
HD182490  |A2III-IV    | 8548|  92| 3.69| 0.10| 0.05| 0.07
HD182568  |B3IV        |18634| 345| 3.72| 0.08| 0.00| 0.05
HD182572  |G8IV...     | 5542|  30| 4.03| 0.06| 0.37| 0.05
HD182761  |A0V         | 9806| 213| 3.83| 0.12|-0.44| 0.14
HD182762  |K0III       | 4894|  37| 2.63| 0.10|-0.10| 0.08
HD183085  |F0          | 7138|  45| 3.93| 0.06|-0.11| 0.06
HD183144  |B4III       |16482| 300| 3.77| 0.12| 0.06| 0.09
HD183324  |A0V         |10300|    | 4.17|     |-1.22|
HD184266  |F2V         | 6014|  53| 3.72| 0.10|-1.03| 0.10
HD184406  |K3IIIb      | 4428|  19| 2.83| 0.08| 0.04| 0.05
HD184499  |G0V         | 5762|  34| 4.13| 0.07|-0.54| 0.06
HD184875  |A2V         | 8933|  83| 4.06| 0.05|-0.24| 0.06
HD184915  |B0.5III     |25817|1967| 3.40| 0.11|-0.16| 0.12
HD184930  |B5III       |14431| 229| 3.72| 0.07| 0.09| 0.07
HD185351  |G9IIIbCN... | 5062|  25| 3.34| 0.06| 0.06| 0.05
HD185423  |B3III       |19169| 513| 3.52| 0.10| 0.05| 0.06
HD185644  |K1III       | 4623|  22| 2.66| 0.07| 0.03| 0.05
HD185657  |G6V         | 4887|  23| 2.66| 0.07|-0.16| 0.05
HD185859  |B0.5Iae     |27238|1708| 3.36| 0.09|-0.04| 0.06
HD186307  |A6V         | 7962|  63| 4.12| 0.05|-0.20| 0.07
HD186377  |A5III       | 8677|  70| 2.71| 0.06|-0.20| 0.06
HD186408  |G1.5Vb      | 5750|  81| 4.04| 0.20| 0.04| 0.13
HD186486  |G8III       | 5077|  26| 2.72| 0.07| 0.02| 0.06
HD186619  |M0III       | 3829|   8| 1.65| 0.10| 0.00| 0.04
HD186648  |K0III       | 4775|  25| 2.58| 0.08|-0.07| 0.06
HD186675  |G7III       | 5042|  26| 2.64| 0.07|-0.03| 0.06
HD187013  |F7V         | 6336|  28| 4.11| 0.04|-0.08| 0.04
HD187111  |G8wvar...   | 4453|  24| 1.03| 0.09|-1.69| 0.07
HD187340  |A2III       | 8579|  76| 3.25| 0.09|-0.05| 0.06
HD187428  |F8Ib-II     | 5904|  57| 2.13| 0.14| 0.05| 0.12
HD187459  |B0.5Ibe...  |26556|1934| 3.30| 0.10|-0.02| 0.09
HD187691  |F8V         | 6069|  30| 4.12| 0.05| 0.10| 0.04
HD187796  |S...        | 3148|  36| 0.49| 0.64|-1.00| 0.00
HD187811  |B2.5Ve      |18859| 772| 3.36| 0.14|-0.01| 0.10
HD187929  |F6Iab:      | 6169|  43| 1.43| 0.08| 0.13| 0.08
HD187961  |B7V         |11710| 315| 2.37| 0.08|-0.11| 0.17
HD187983  |A1Ia        |10092| 123| 1.66| 0.04| 0.19| 0.09
HD188001  |O8e         |36490|1025| 3.21| 0.05|-0.11| 0.08
HD188119  |G8III       | 4939|  28| 2.43| 0.08|-0.48| 0.07
HD188209  |O9.5Ib      |31910|1374| 3.36| 0.08| 0.00| 0.06
HD188260  |B9.5III     |10363| 166| 4.01| 0.06|-0.11| 0.08
HD188310  |G9IIIb      | 4703|  23| 2.54| 0.08|-0.24| 0.05
HD188350  |A0III       |10115| 158| 3.88| 0.08|-0.23| 0.10
HD188485  |A0III       |10124| 186| 3.93| 0.08|-0.28| 0.11
HD188728  |A1IV        | 9177| 176| 3.67| 0.16| 0.01| 0.11
HD188947  |K0III       | 4863|  24| 2.71| 0.07| 0.04| 0.05
HD189319  |M0III       | 3913|   9| 1.63| 0.10| 0.13| 0.03
HD189558  |G0/G1V      | 5702|  37| 3.87| 0.08|-1.08| 0.08
HD189944  |B4V         |15639| 305| 3.69| 0.07| 0.03| 0.06
HD190004  |F2III       | 6944|  46| 3.80| 0.06| 0.27| 0.05
HD190172  |F4III       | 7032|  42| 4.04| 0.05| 0.05| 0.05
HD190390  |F1III       | 6786|  71| 3.93| 0.08|-0.63| 0.11
HD190608  |K2III       | 4722|  22| 2.96| 0.07| 0.00| 0.05
HD190993  |B3V         |17316| 407| 3.85| 0.10|-0.14| 0.09
HD191026  |K0IV        | 5186|  26| 3.84| 0.06| 0.05| 0.05
HD191046  |K0III       | 4468|  24| 1.79| 0.10|-0.67| 0.07
HD191243  |B5Ib        |16697| 547| 2.86| 0.09|-0.02| 0.08
HD191277  |K3III       | 4444|  21| 2.85| 0.08| 0.15| 0.05
HD191372  |M3IIIa      | 3566|   6| 1.02| 0.12|-0.02| 0.04
HD191610  |B2.5Ve      |19332|1371| 3.25| 0.20|-0.09| 0.17
HD191615  |G8IV        | 4764|  24| 2.54| 0.08|-0.35| 0.06
HD191639  |B1V         |20368|1297| 2.82| 0.10|-0.39| 0.19
HD192276  |B7V         |12601| 249| 4.08| 0.08| 0.14| 0.10
HD192425  |A2V         | 8804|  95| 4.07| 0.07|-0.48| 0.10
HD192685  |B3V         |18754| 735| 3.49| 0.15|-0.10| 0.12
HD192944  |G8III       | 5045|  27| 2.55| 0.07|-0.05| 0.06
HD193322  |O9V         |35940|1068| 3.85| 0.08| 0.06| 0.07
HD193432  |B9IV        |10069| 165| 3.82| 0.08|-0.15| 0.08
HD193536  |B2V         |19796| 787| 3.72| 0.15| 0.02| 0.10
HD193621  |A0III       | 9587| 336| 2.94| 0.14|-0.52| 0.29
HD194013  |G8III-IV    | 4958|  27| 2.72| 0.07|-0.06| 0.06
HD194093  |F8Iab:      | 6360|  16| 0.91| 0.02| 0.18| 0.02
HD194960  |K0III       | 4797|  77| 2.58| 0.24|-0.15| 0.18
HD195135  |K2III       | 4604|  24| 2.67| 0.08| 0.16| 0.05
HD195324  |A1Ib        | 9997| 121| 1.89| 0.04|-0.06| 0.09
HD195506  |K2III       | 4418|  20| 2.57| 0.09|-0.32| 0.05
HD195633  |G0Vw        | 6102|  40| 4.10| 0.07|-0.55| 0.07
HD195725  |A7III       | 7702|  62| 3.66| 0.07| 0.27| 0.06
HD195810  |B6III       |14355| 321| 3.71| 0.09| 0.08| 0.10
HD196504  |B9V         |10791| 244| 3.89| 0.14|-0.27| 0.15
HD196610  |M6III       | 3100|  14| 0.39| 0.29|-1.00| 0.00
HD196740  |B5IV        |15427| 282| 3.77| 0.14| 0.02| 0.11
HD196758  |K1III       | 4804|  27| 2.63| 0.08| 0.06| 0.06
HD196777  |M1III       | 3629|   7| 1.12| 0.14|-0.08| 0.05
HD196787  |G9III       | 4949|  29| 2.51| 0.08| 0.05| 0.07
HD196867  |B9IV        |10705| 173| 4.05| 0.06|-0.06| 0.10
HD197812  |M5Iab:      | 3119|  13| 0.32| 0.24|-1.00| 0.00
HD197912  |G9.5III     | 4774|  25| 2.46| 0.08|-0.11| 0.06
HD197939  |M3III       | 3438|   7| 0.77| 0.14|-0.05| 0.05
